id Amikacin Capreomycin Ciprofloxacin Ethambutol Ethionamide Isoniazid Kanamycin Moxifloxacin Ofloxacin PAA Prothionamide Pyrazinamide Rifampicin Streptomycin
ERR038751 1 1 1 1 1 2 1 1 1 1 1 1 1 2
ERR038752 1 1 1 1 1 2 1 1 1 1 2 1 2 2
ERR038753 1 1 1 2 1 2 1 1 1 1 1 1 2 1
ERR038754 1 1 1 2 1 2 1 1 1 1 1 2 2 2
ERR038755 1 1 1 1 2 2 1 1 1 1 1 1 2 2
ERR040112 1 1 2 1 1 1 2 2 2 2 1 1 1 1
ERR040114 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR040115 1 1 1 2 1 2 2 2 2 1 2 2 2 2
ERR040118 1 1 1 1 1 1 1 1 1 2 1 1 1 1
ERR040119 1 1 1 2 1 2 1 1 1 1 1 1 2 1
ERR040120 1 1 2 2 1 2 1 2 2 1 2 2 2 2
ERR040121 1 1 1 1 1 2 1 1 1 1 1 1 2 1
ERR040122 1 1 2 1 1 2 1 1 2 1 1 2 2 1
ERR040123 2 2 1 2 1 2 2 1 1 1 1 2 2 1
ERR040124 2 2 2 2 2 2 2 1 1 1 2 2 2 2
ERR040125 2 2 1 2 1 2 2 1 1 1 1 2 2 1
ERR040126 1 2 1 2 2 2 1 1 1 1 1 1 2 1
ERR040127 1 1 1 2 1 2 1 1 1 1 1 1 2 2
ERR040128 1 1 1 2 2 2 1 1 1 1 2 2 2 2
ERR040129 1 1 2 2 1 2 1 1 1 1 2 1 1 1
ERR040131 1 2 1 2 2 2 1 1 1 1 2 1 2 1
ERR040132 1 1 1 1 2 2 1 1 1 1 1 1 2 1
ERR040133 1 1 1 2 1 2 1 1 1 1 1 1 2 2
ERR040134 1 1 1 1 1 2 1 1 1 1 2 1 2 2
ERR040135 1 1 1 2 1 2 1 2 1 2 2 1 2 2
ERR040136 1 1 1 2 1 2 1 2 1 1 2 1 2 1
ERR040137 2 2 1 2 1 2 2 1 1 1 1 2 2 2
ERR040138 2 2 1 1 1 2 2 1 1 1 2 1 2 2
ERR040140 1 1 1 2 1 2 2 2 2 1 1 2 2 2
